Ph,K,P,N,Zn,S,QV2M-W,QV2M-Au,PRECTOTCORR-W,Soilcolor_encoded,label_encoded
1.918392120161421,6.605610456677571,0.3166876488120283,0.2070141693843261,1.3554659012666004,0.5782598050889918,7.993333333,9.683333333,2.073333333,6.0,0
1.860974538249528,6.4091579176648,0.9315342443918538,0.2070141693843261,1.4113987412658808,1.0046838614371236,7.993333333,9.683333333,2.073333333,6.0,0
1.8578592709325787,5.959922279098104,0.5519653138689357,0.2070141693843261,2.435646355504998,1.0259341566323903,7.993333333,9.683333333,2.073333333,1295.0,0
1.8946168546677629,5.337951455788111,-0.1788618588874991,0.2070141693843261,-2.5202749520057006,0.9501992709501365,7.993333333,9.683333333,2.073333333,1194.0,0
1.8357763546448291,5.763173394598866,1.7737165206330097,0.2070141693843261,1.2149561473926802,0.3572606966158133,7.993333333,9.683333333,2.073333333,1194.0,0
1.801709800081223,5.006874899332561,0.749748354037709,0.2070141693843261,1.984894601406706,1.209279837286924,7.993333333,9.683333333,2.073333333,1295.0,0
1.8825138324965192,5.718763036945428,-0.7210340448449356,0.2070141693843261,-0.0967745760878861,0.105993012474951,7.993333333,9.683333333,2.073333333,1194.0,0
1.824549292051046,5.944370319025625,1.644386210287764,0.2070141693843261,0.3760417873932796,0.6071380710844798,7.993333333,9.683333333,2.073333333,1295.0,0
1.8468787684491343,5.996608792758196,0.4839202261661268,0.2070141693843261,0.9985417599177584,0.4483569627713555,7.993333333,9.683333333,2.073333333,1194.0,0
1.9387416595767009,5.429121919722871,1.5935395224437616,0.2070141693843261,-2.5551488568934078,1.1048144925933747,7.993333333,9.683333333,2.073333333,88.0,0
1.867176108512809,5.3884962217777606,-1.7941064893105876,0.2070141693843261,-1.5871436872986466,0.2333807402432345,7.993333333,9.683333333,2.073333333,1194.0,0
2.005525858729668,6.035923918345522,1.852914386324948,0.2070141693843261,-0.5195854070127398,0.839835345739822,7.993333333,9.683333333,2.073333333,1295.0,0
1.9544450515051504,5.013012466382007,-1.1414883338480637,0.2070141693843261,-1.494373871346936,0.1339824001579756,7.993333333,9.683333333,2.073333333,1194.0,0
1.88706964903238,6.051538429059761,-0.0534251772751797,0.2070141693843261,0.7114732750283019,0.2917432216317903,7.993333333,9.683333333,2.073333333,1295.0,0
1.9501867058225733,5.865115868350701,1.991177019554964,0.2070141693843261,-0.5444220362357924,1.179740571115096,7.993333333,9.683333333,2.073333333,1295.0,0
1.8325814637483104,5.108850341593211,-0.4944932886919126,0.2070141693843261,1.6703086167275738,-0.1036703897486469,7.993333333,9.683333333,2.073333333,88.0,0
1.969905654611529,4.361632582520494,0.4500755076600071,0.2070141693843261,-1.0032366928994072,0.0380017370688635,7.993333333,9.683333333,2.073333333,1295.0,0
1.9671123567059163,4.768733569853457,0.2481876607971343,0.2070141693843261,0.4433819559634394,-0.1272674670505925,7.65,9.726666667,1.17,859.0,0
1.9154509415706047,4.930046881997585,0.2142698791544301,0.2070141693843261,1.2340178450042634,-0.343690332058244,7.65,9.726666667,1.17,859.0,0
1.944480556245719,4.412580087717338,1.058514667774174,0.2070141693843261,-0.6937473816231177,0.0169743851682701,7.65,9.726666667,1.17,14.0,0
1.9315214116032136,5.286917635822163,-0.7904741302411183,0.2070141693843261,0.2960200054736214,0.7107198794864944,7.65,9.726666667,1.17,859.0,0
1.8946168546677629,5.965987752126955,-2.437440123867024,0.2070141693843261,-0.3961450612680708,-0.0309330651905489,7.65,9.726666667,1.17,6.0,0
1.922787731634459,4.99255278654549,1.0598440963887368,0.2070141693843261,-0.10290687141825,0.1036998695216708,7.65,9.726666667,1.17,1295.0,0
1.944480556245719,4.0393426450003735,0.6503048384663672,0.2070141693843261,-0.195770310648513,0.1950231509241821,7.65,9.726666667,1.17,1194.0,0
1.916922612182061,5.6240175061873385,-0.0030606185482047,0.2783890255401883,0.621655418918809,-0.3383487145258168,7.183333333,9.07,2.073333333,1295.0,0
1.9878743481543453,5.6300390514310585,2.059843114902547,0.2070141693843261,-0.4468241206556188,0.1466777262756501,7.65,9.726666667,1.17,1194.0,0
1.935859813201812,5.462436764612455,0.5714116304274626,0.2070141693843261,-1.0428419862366038,0.1698848501327767,7.65,9.726666667,1.17,14.0,0
1.9530276168241771,4.575679581421032,0.5880914666250007,0.2070141693843261,-1.0479842174511362,0.2051115280357529,7.65,9.726666667,1.17,1295.0,0
1.891604804197771,6.233671236677461,-0.03585464061492,0.2070141693843261,-1.7221926470597548,0.4359885273790477,7.65,9.726666667,1.17,1194.0,0
1.944480556245719,6.003733968967864,2.034698133457072,0.2070141693843261,0.6066461721084558,1.0363692491931178,7.65,9.726666667,1.17,1295.0,0
1.9315214116032136,5.8522024797744745,1.0408084093443253,0.2252213911091754,1.6184531475511528,0.067029577508125,7.183333333,9.07,2.073333333,1295.0,0
